"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att"
"Chapman","CAN",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0.25,4,3,1,2,0.5,4,0,NA,0,5,0.555555555555556,9,0,NA,0,0,0,0,NA,0,0,0,0,0,0,23,0.696969696969697,33,18,0.75,24,9,1,9,0.375,0.696969696969697,0.181818181818182,0.121212121212121,14,23,0.608695652173913,5,6,0.833333333333333,4,4,1,0.272727272727273,9,1,9,0.555555555555556,0.222222222222222,0.222222222222222,5,5,1,2,2,1,2,2,1,1,1,1,0,0,0,5,0.357142857142857,14,9,2,0,2,12,5,2,2,0,3,6,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Colon","PUR",47,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,4,0.8,5,4,0.8,5,1,0.5,2,0.4,0.6,0.2,0.2,2,3,0.666666666666667,1,1,1,1,1,1,0.4,1,0.5,2,1,0,0,1,2,0.5,0,0,NA,0,0,NA,1,1,1,0,0,1,1,0.5,2,1,2,0,0,1,6,0,0,0,1,0,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Cordner","TRI",92,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,10,0.625,16,10,0.625,16,5,0.625,8,0.5,0.5,0.1875,0.3125,3,8,0.375,2,3,0.666666666666667,5,5,1,0.5,5,0.625,8,0.5,0.25,0.25,1,4,0.25,2,2,1,2,2,1,2,0.4,5,3,0,2,1,0.333333333333333,3,2,1,0,2,33,8,3,2,0,3,2,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Cunningham","TRI",92,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,5,0.833333333333333,6,5,0.833333333333333,6,0,NA,0,0,0.666666666666667,0.166666666666667,0.166666666666667,3,4,0.75,1,1,1,1,1,1,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,3,0.75,4,1,0,1,1,1,1,0,1,0,3,11,10,4,3,1,2,5,4,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"D. Cruz","CRC",96,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,2,0,1,0.5,2,0,NA,0,10,0.769230769230769,13,0,NA,0,0,0,0,NA,0,0,0,0,0,0,34,0.772727272727273,44,24,0.774193548387097,31,11,0.785714285714286,14,0.451612903225806,0.5,0.340909090909091,0.159090909090909,15,22,0.681818181818182,12,15,0.8,7,7,1,0.318181818181818,11,0.785714285714286,14,0.285714285714286,0.5,0.214285714285714,3,4,0.75,5,7,0.714285714285714,3,3,1,0,NA,0,0,0,0,1,1,1,0,2,0,2,7,1,2,2,0,3,2,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Debessette","TRI",92,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0.333333333333333,3,0,NA,0,5,0.5,10,0,NA,0,0,0,0,NA,0,0,0,0,0,0,7,0.35,20,2,0.2,10,1,0.333333333333333,3,0.3,0.95,0.05,0,7,19,0.368421052631579,0,1,0,0,0,NA,0.15,1,0.333333333333333,3,1,0,0,1,3,0.333333333333333,0,0,NA,0,0,NA,0,NA,0,0,1,0,0,0,1,1,1,0,6,13,2,2,2,0,1,6,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Diaz","CRC",96,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,8,0.421052631578947,19,0,NA,0,0,NA,0,0,NA,0,0,0,3,0.6,5,0,0,0,0,5,20,0.606060606060606,33,14,0.666666666666667,21,0,NA,0,0,0.939393939393939,0.0606060606060606,0,18,31,0.580645161290323,2,2,1,0,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,2,1,0,0,0,0,7,5,12,0.416666666666667,4,1,3,0.75,5,4,1,2,1,0,0,0,3,2,1,2,2,0,0,0,0,0,0,20,0.606060606060606,33,2,1,2,1,0.2,5,9,0.642857142857143,14
"Dominguez","MEX",68,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,8,0.666666666666667,12,8,0.666666666666667,12,7,0.7,10,0.833333333333333,0.25,0.25,0.5,1,3,0.333333333333333,2,3,0.666666666666667,5,6,0.833333333333333,0.833333333333333,7,0.7,10,0.3,0.2,0.5,1,3,0.333333333333333,2,2,1,4,5,0.8,0,0,1,1,2,1,0,0,3,3,0,0,2,16,6,6,2,4,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Dunn","USA",244,3,6,11,0.818181818181818,2,1,2,4,0.363636363636364,2,5,0,3,0,0,1,0,NA,0,0,0,0,2,2,1,0,0,0,0,0,2,0.25,8,8,0,1,0.5,2,4,0.666666666666667,6,0,NA,0,0,NA,0,0,0,1,1,1,0,0,0,0,1,64,0.727272727272727,88,63,0.724137931034483,87,43,0.811320754716981,53,0.609195402298851,0.420454545454545,0.25,0.329545454545455,23,37,0.621621621621622,14,22,0.636363636363636,27,29,0.931034482758621,0.602272727272727,43,0.811320754716981,53,0.433962264150943,0.226415094339623,0.339622641509434,16,23,0.695652173913043,10,12,0.833333333333333,17,18,0.944444444444444,25,0.833333333333333,30,5,8,5,7,0.777777777777778,9,2,1,0,4,54,14,24,15,9,3,9,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Farias","MEX",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,2,0.222222222222222,9,0,NA,0,0,NA,0,0,NA,0,0,0,1,0.166666666666667,6,0,0,0,0,6,12,0.631578947368421,19,11,0.846153846153846,13,4,1,4,0.307692307692308,0.631578947368421,0.263157894736842,0.105263157894737,5,12,0.416666666666667,5,5,1,2,2,1,0.210526315789474,4,1,4,0.5,0.25,0.25,2,2,1,1,1,1,1,1,1,1,0.5,2,1,0,0,0,0,1,1,5,0,1,6,2,1,0,1,2,8,7,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Fiol","PUR",48,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,3,1,3,3,1,3,3,1,3,1,0.666666666666667,0.333333333333333,0,2,2,1,1,1,1,0,0,NA,1,3,1,3,0.666666666666667,0.333333333333333,0,2,2,1,1,1,1,0,0,NA,0,NA,0,0,3,0,0,0,2,2,0,0,2,20,0,1,1,0,1,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Flores","MEX",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,NA,0,5,0.714285714285714,7,0,NA,0,0,0,0,NA,0,0,0,0,0,0,11,0.6875,16,6,0.666666666666667,9,3,0.75,4,0.444444444444444,0.6875,0,0.3125,6,11,0.545454545454545,0,0,NA,5,5,1,0.3125,4,0.8,5,0.6,0,0.4,2,3,0.666666666666667,0,0,NA,2,2,1,0,0,2,2,2,0,0,0,4,4,1,0,2,10,1,3,3,0,1,4,5,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Font","PUR",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,0,NA,0,5,0.555555555555556,9,0,NA,0,0,0,0,NA,0,0,0,0,0,0,15,0.652173913043478,23,10,0.714285714285714,14,7,1,7,0.5,0.782608695652174,0.130434782608696,0.0869565217391304,10,18,0.555555555555556,3,3,1,2,2,1,0.304347826086957,7,1,7,0.571428571428571,0.285714285714286,0.142857142857143,4,4,1,2,2,1,1,1,1,0,NA,0,0,1,0,0,NA,0,0,1,0,6,14,4,3,2,1,2,8,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Francois","TRI",23,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0.5,1,0,0,0,2,0,0,0,NA,0,0,NA,0.5,0,0,1,1,0,0,0,1,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,1,0.333333333333333,3,2,0,0,0,9,3,2,1,1,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"G. Villalobos","CRC",15,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,0,0,0,1,0.5,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Garciamendez","MEX",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,4,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,1,9,0.642857142857143,14,9,0.692307692307692,13,4,1,4,0.307692307692308,0.642857142857143,0.142857142857143,0.214285714285714,4,9,0.444444444444444,2,2,1,3,3,1,0.285714285714286,4,1,4,0.25,0.25,0.5,1,1,1,1,1,1,2,2,1,1,1,1,0,0,1,2,0.333333333333333,6,4,2,0,3,9,4,4,3,1,1,8,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Granados","CRC",49,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,4,1,1,1,0,NA,0,1,1,1,0,0,0,0,1,0,0,0,0,1,18,0.782608695652174,23,17,0.80952380952381,21,5,0.833333333333333,6,0.285714285714286,0.608695652173913,0.130434782608696,0.260869565217391,9,14,0.642857142857143,3,3,1,6,6,1,0.260869565217391,5,0.833333333333333,6,0.333333333333333,0.333333333333333,0.333333333333333,1,2,0.5,2,2,1,2,2,1,0,0,1,1,0,0,0,0,2,2,0,0,3,8,3,3,1,2,0,3,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
