"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","NA.","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","no","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","HB.Win.Pct"
"Alleway","ORL",1,97,1,0,2,1.85567010309278,0.5,1,0,1,0.150212456310635,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,21,27,25.0515463917526,0.777777777777778,19,25,23.1958762886598,0.76,9,9,8.35051546391753,1,0.36,0.666666666666667,0.148148148148148,0.185185185185185,12,18,16.7010309278351,0.666666666666667,4,4,3.71134020618557,1,5,5,4.63917525773196,1,0.037037037037037,0.407407407407407,0.555555555555556,1,1,0.927835051546392,1,7,11,10.2061855670103,0.636363636363636,13,15,13.9175257731959,0.866666666666667,0.037037037037037,0.407407407407407,0.555555555555556,1,1,0.927835051546392,1,7,11,10.2061855670103,0.636363636363636,13,15,13.9175257731959,0.866666666666667,9,4,0,0,6,1,0,0,1,0.72,0.12,0.16,12,18,16.7010309278351,0.666666666666667,3,3,2.78350515463918,1,4,4,3.71134020618557,1,0.333333333333333,9,9,8.35051546391753,1,0.555555555555556,0.222222222222222,0.222222222222222,5,5,4.63917525773196,1,2,2,1.85567010309278,1,2,2,1.85567010309278,1,0,0,0,0,NA,0,0,1,4,3.71134020618557,0.148148148148148,0.25,0,1,0.927835051546392,0.037037037037037,0.04,0,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,1,0,3,0,0,0,0,NA,0,2,2,0,1.85567010309278,2,1.85567010309278,1,1,0.5,2,1,3,2.78350515463918,0,0,3,1,9,8.35051546391753,7,2,6,5.56701030927835,0,4,3.71134020618557,9,8.35051546391753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Andressa","HOU",1,89,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,58,66,66.7415730337079,0.878787878787879,57,62,62.6966292134831,0.919354838709677,31,32,32.3595505617978,0.96875,0.516129032258065,0.378787878787879,0.287878787878788,0.333333333333333,21,25,25.2808988764045,0.84,15,19,19.2134831460674,0.789473684210526,22,22,22.247191011236,1,0.196969696969697,0.636363636363636,0.166666666666667,9,13,13.1460674157303,0.692307692307692,38,42,42.4719101123596,0.904761904761905,11,11,11.123595505618,1,0.196969696969697,0.636363636363636,0.166666666666667,9,13,13.1460674157303,0.692307692307692,38,42,42.4719101123596,0.904761904761905,11,11,11.123595505618,1,7,4,0,7,26,5,0,1,8,0.387096774193548,0.258064516129032,0.354838709677419,20,24,24.2696629213483,0.833333333333333,15,16,16.1797752808989,0.9375,22,22,22.247191011236,1,0.484848484848485,31,32,32.3595505617978,0.96875,0.3125,0.3125,0.375,9,10,10.1123595505618,0.9,10,10,10.1123595505618,1,12,12,12.1348314606742,1,1,1,1.01123595505618,0.0161290322580645,1,1,0,0,2,2.02247191011236,0.0303030303030303,0,1,1,1.01123595505618,0.0151515151515152,0.0161290322580645,1,0,0,0,0,NA,0,3,0,0,0,1,1,1,0,0,0,0,1,5,5.0561797752809,3,2,0.6,1,0,3,0,3.03370786516854,5,5.0561797752809,2,3,0.4,1,0,1,1.01123595505618,1,1.01123595505618,20,4,12,12.1348314606742,5,7,1,1.01123595505618,0,2,2.02247191011236,1,1.01123595505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Averbuch","FCKC",1,94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,59,76,72.7659574468085,0.776315789473684,54,70,67.0212765957447,0.771428571428571,27,34,32.5531914893617,0.794117647058823,0.485714285714286,0.828947368421053,0.118421052631579,0.0526315789473684,46,63,60.3191489361702,0.73015873015873,9,9,8.61702127659574,1,4,4,3.82978723404255,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.828571428571429,0.114285714285714,0.0571428571428571,42,58,55.531914893617,0.724137931034483,8,8,7.65957446808511,1,4,4,3.82978723404255,1,0.447368421052632,27,34,32.5531914893617,0.794117647058823,0.794117647058823,0.147058823529412,0.0588235294117647,20,27,25.8510638297872,0.740740740740741,5,5,4.78723404255319,1,2,2,1.91489361702128,1,0,1,0.957446808510638,0.0142857142857143,0,0,1,4,9,8.61702127659574,0.118421052631579,0.444444444444444,0,0,0,0,0,NA,2,2,1.91489361702128,0.0263157894736842,1,0,0,NA,0,0,3,4,0.75,0,0,0,0,4,0,0,0,0,NA,1,0,1,0,0.957446808510638,2,1.91489361702128,2,0,1,2,1,3,2.87234042553191,2,1.91489361702128,15,9,10,9.57446808510638,8,2,4,3.82978723404255,0,1,0.957446808510638,1,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Banini","WAS",1,76,1,0,3,3.55263157894737,0.333333333333333,1,0,2,0.429649172082227,2,0.666666666666667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,14,16,18.9473684210526,0.875,14,16,18.9473684210526,0.875,8,8,9.47368421052632,1,0.5,0.5,0.3125,0.1875,6,8,9.47368421052632,0.75,5,5,5.92105263157895,1,3,3,3.55263157894737,1,0.5625,0.4375,0,8,9,10.6578947368421,0.888888888888889,6,7,8.28947368421053,0.857142857142857,0,0,0,NA,0.5625,0.4375,0,8,9,10.6578947368421,0.888888888888889,6,7,8.28947368421053,0.857142857142857,0,0,0,NA,0,0,0,0,6,0,0,0,8,0.5,0.3125,0.1875,6,8,9.47368421052632,0.75,5,5,5.92105263157895,1,3,3,3.55263157894737,1,0.5,8,8,9.47368421052632,1,0.375,0.25,0.375,3,3,3.55263157894737,1,2,2,2.36842105263158,1,3,3,3.55263157894737,1,0,0,0,0,NA,0,0,0,0,0,0,NA,1,2,2.36842105263158,0.125,0.125,0.5,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,4,4.73684210526316,3,1,0.75,3,2,6,0,7.10526315789474,8,9.47368421052632,0,8,0,1,1,2,2.36842105263158,2,2.36842105263158,11,0,3,3.55263157894737,0,3,1,1.18421052631579,0,4,4.73684210526316,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Barnes","SRFC",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,71,82,77.6842105263158,0.865853658536585,64,75,71.0526315789474,0.853333333333333,18,23,21.7894736842105,0.782608695652174,0.306666666666667,0.524390243902439,0.353658536585366,0.121951219512195,34,43,40.7368421052632,0.790697674418605,27,29,27.4736842105263,0.931034482758621,10,10,9.47368421052632,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.546666666666667,0.32,0.133333333333333,32,41,38.8421052631579,0.780487804878049,22,24,22.7368421052632,0.916666666666667,10,10,9.47368421052632,1,0.280487804878049,18,23,21.7894736842105,0.782608695652174,0.434782608695652,0.391304347826087,0.173913043478261,7,10,9.47368421052632,0.7,7,9,8.52631578947368,0.777777777777778,4,4,3.78947368421053,1,0,2,1.89473684210526,0.0266666666666667,0,1,1,2,7,6.63157894736842,0.0853658536585366,0.285714285714286,2,4,3.78947368421053,0.0487804878048781,0.0533333333333333,0.5,7,7,6.63157894736842,0.0853658536585366,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0.947368421052632,1,0,1,0,0,0,0,0,0,8,3,7,6.63157894736842,6,1,1,0.947368421052632,0,2,1.89473684210526,6,5.68421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Barnhart","FCKC",1,94,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,18,27,25.8510638297872,0.666666666666667,10,15,14.3617021276596,0.666666666666667,2,2,1.91489361702128,1,0.133333333333333,0.888888888888889,0.0740740740740741,0.037037037037037,17,24,22.9787234042553,0.708333333333333,1,2,1.91489361702128,0.5,0,1,0.957446808510638,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.933333333333333,0.0666666666666667,0,9,14,13.4042553191489,0.642857142857143,1,1,0.957446808510638,1,0,0,0,NA,0.0740740740740741,2,2,1.91489361702128,1,0.5,0.5,0,1,1,0.957446808510638,1,1,1,0.957446808510638,1,0,0,0,NA,0,0,0,0,NA,0,0,1,6,5.74468085106383,0.222222222222222,0.166666666666667,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,3.82978723404255,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,7,0.142857142857143,3,3,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,18,27,0.666666666666667,8,10,0.8,0,1,0,1,6,0.166666666666667,1
"Beckie","HOU",1,73,1,1,1,1.23287671232877,1,0,0,0,0.278584133855425,1,1,0,1,0,0,0,0,0,1,0,1,0,1.23287671232877,0,0,0,NA,0,0,0,0,0,31,39,48.0821917808219,0.794871794871795,29,37,45.6164383561644,0.783783783783784,19,22,27.1232876712329,0.863636363636364,0.594594594594595,0.230769230769231,0.384615384615385,0.384615384615385,4,9,11.0958904109589,0.444444444444444,12,15,18.4931506849315,0.8,15,15,18.4931506849315,1,0.41025641025641,0.435897435897436,0.153846153846154,13,16,19.7260273972603,0.8125,13,17,20.958904109589,0.764705882352941,5,6,7.3972602739726,0.833333333333333,0.41025641025641,0.435897435897436,0.153846153846154,13,16,19.7260273972603,0.8125,13,17,20.958904109589,0.764705882352941,5,6,7.3972602739726,0.833333333333333,5,0,0,1,10,2,0,6,7,0.243243243243243,0.378378378378378,0.378378378378378,4,9,11.0958904109589,0.444444444444444,11,14,17.2602739726027,0.785714285714286,14,14,17.2602739726027,1,0.564102564102564,19,22,27.1232876712329,0.863636363636364,0.181818181818182,0.272727272727273,0.545454545454545,1,4,4.93150684931507,0.25,6,6,7.3972602739726,1,12,12,14.7945205479452,1,3,3,3.6986301369863,0.0810810810810811,1,3,0,0,0,0,0,NA,1,1,1.23287671232877,0.0256410256410256,0.027027027027027,1,2,2,2.46575342465753,0.0512820512820513,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,3.6986301369863,2,1,0.666666666666667,1,4,6,0,7.3972602739726,2,2.46575342465753,0,2,0,0,0,0,0,2,2.46575342465753,17,3,4,4.93150684931507,3,1,1,1.23287671232877,0,3,3.6986301369863,1,1.23287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Belanger","ORL",1,97,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,23,29,26.9072164948454,0.793103448275862,20,24,22.2680412371134,0.833333333333333,12,13,12.0618556701031,0.923076923076923,0.541666666666667,0.620689655172414,0.137931034482759,0.241379310344828,12,18,16.7010309278351,0.666666666666667,4,4,3.71134020618557,1,7,7,6.49484536082474,1,0.0344827586206897,0.758620689655172,0.206896551724138,0,1,0.927835051546392,0,19,22,20.4123711340206,0.863636363636364,4,6,5.56701030927835,0.666666666666667,0.0344827586206897,0.758620689655172,0.206896551724138,0,1,0.927835051546392,0,19,22,20.4123711340206,0.863636363636364,4,6,5.56701030927835,0.666666666666667,2,2,0,5,10,4,0,0,0,0.583333333333333,0.166666666666667,0.25,10,14,12.9896907216495,0.714285714285714,4,4,3.71134020618557,1,6,6,5.56701030927835,1,0.448275862068966,12,13,12.0618556701031,0.923076923076923,0.461538461538462,0.153846153846154,0.384615384615385,5,6,5.56701030927835,0.833333333333333,2,2,1.85567010309278,1,5,5,4.63917525773196,1,0,0,0,0,NA,0,0,1,3,2.78350515463918,0.103448275862069,0.333333333333333,0,1,0.927835051546392,0.0344827586206897,0.0416666666666667,0,3,5,4.63917525773196,0.172413793103448,0.6,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,2.78350515463918,2,1,0.666666666666667,2,2,5,0,4.63917525773196,2,1.85567010309278,1,1,0.5,1,0,1,0.927835051546392,2,1.85567010309278,14,3,11,10.2061855670103,7,4,3,2.78350515463918,0,1,0.927835051546392,5,4.63917525773196,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
"Betos","PTFC",1,97,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,28,40,37.1134020618557,0.7,20,26,24.1237113402062,0.769230769230769,3,3,2.78350515463918,1,0.115384615384615,0.75,0.25,0,18,30,27.8350515463918,0.6,10,10,9.27835051546392,1,0,0,0,NA,0.075,0,0.925,3,3,2.78350515463918,1,0,0,0,NA,25,37,34.3298969072165,0.675675675675676,0.075,0,0.925,3,3,2.78350515463918,1,0,0,0,NA,25,37,34.3298969072165,0.675675675675676,21,4,0,0,0,0,2,0,1,0.692307692307692,0.307692307692308,0,12,18,16.7010309278351,0.666666666666667,8,8,7.42268041237113,1,0,0,0,NA,0.075,3,3,2.78350515463918,1,0.666666666666667,0.333333333333333,0,2,2,1.85567010309278,1,1,1,0.927835051546392,1,0,0,0,NA,0,0,0,0,NA,0,0,3,13,12.0618556701031,0.325,0.230769230769231,0,1,0.927835051546392,0.025,0.0384615384615385,0,0,0,0,0,NA,0,0,NA,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,3.71134020618557,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,1,6,0.166666666666667,2,2,0,0,5,5,0,1,4,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,28,40,0.7,7,7,1,0,5,0,6,11,0.545454545454545,1
"Brooks","HOU",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,48,53,50.2105263157895,0.905660377358491,47,52,49.2631578947368,0.903846153846154,26,28,26.5263157894737,0.928571428571429,0.538461538461538,0.509433962264151,0.339622641509434,0.150943396226415,23,27,25.5789473684211,0.851851851851852,17,18,17.0526315789474,0.944444444444444,8,8,7.57894736842105,1,0.0377358490566038,0.660377358490566,0.30188679245283,2,2,1.89473684210526,1,31,35,33.1578947368421,0.885714285714286,15,16,15.1578947368421,0.9375,0.0377358490566038,0.660377358490566,0.30188679245283,2,2,1.89473684210526,1,31,35,33.1578947368421,0.885714285714286,15,16,15.1578947368421,0.9375,13,2,0,4,22,5,0,0,2,0.5,0.346153846153846,0.153846153846154,22,26,24.6315789473684,0.846153846153846,17,18,17.0526315789474,0.944444444444444,8,8,7.57894736842105,1,0.528301886792453,26,28,26.5263157894737,0.928571428571429,0.535714285714286,0.357142857142857,0.107142857142857,13,15,14.2105263157895,0.866666666666667,10,10,9.47368421052632,1,3,3,2.84210526315789,1,0,0,0,0,NA,0,0,1,3,2.84210526315789,0.0566037735849057,0.333333333333333,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,1,0.947368421052632,1,0,1,0,2,2,0,1.89473684210526,11,10.4210526315789,5,6,0.454545454545455,3,1,4,3.78947368421053,0,0,7,6,14,13.2631578947368,10,4,2,1.89473684210526,0,1,0.947368421052632,3,2.84210526315789,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA
