Player,Team,GP,MP,GS,Goals,Shots,Shots.per.90,Shot.Accuracy,Shot.GK.Stop,Shot.Def.Stop,Shot.Miss,xG,Shot.Pressed,Pct.Shots.Pressed,A6.Shots,A18.Shots,A3L.Shots,A3C.Shots,A3R.Shots,Far.Shots,Assists,Key.Passes,Key.Assists,Second.Assists,Assists.per.90,Key.Passes.per.90,Big.Chances,Big.Chances.per.90,BC.Scored,BC.Conversion.Pct,BC.SOG,BC.Shot.Miss,BC.Dispossess,BC.Created,BC.Lost,Pass.Comp,Pass.Att,Pass.Att.per.90,Pass.Comp.Pct,opPass.Comp,opPass.Att,opPass.Att.per.90,opPass.Comp.Pct,opPPass.Comp,opPPass.Att,opPPass.Att.per.90,opPPass.Comp.Pct,Pct.opPass.Pressed,rFreq.Pass.Fwd,rFreq.Pass.Side,rFreq.Pass.Back,fwPass.Comp,fwPass.Att,fwPass.Att.per.90,fwPass.Comp.Pct,sPass.Comp,sPass.Att,sPass.Att.per.90,sPass.Comp.Pct,bPass.Comp,bPass.Att,bPass.Att.per.90,bPass.Comp.Pct,rFreq.A3.Passes,rFreq.M3.Passes,rFreq.D3.Passes,A3Pass.Comp,A3Pass.Att,A3Pass.Att.per.90,A3Pass.Comp.Pct,M3Pass.Comp,M3Pass.Att,M3Pass.Att.per.90,M3Pass.Comp.Pct,D3Pass.Comp,D3Pass.Att,D3Pass.Att.per.90,D3Pass.Comp.Pct,rFreq.A3.opPasses,rFreq.M3.opPasses,rFreq.D3.opPasses,A3opPass.Comp,A3opPass.Att,A3opPass.Att.per.90,A3opPass.Comp.Pct,M3opPass.Comp,M3opPass.Att,M3opPass.Att.per.90,M3opPass.Comp.Pct,D3opPass.Comp,D3opPass.Att,D3opPass.Att.per.90,D3opPass.Comp.Pct,Pass.Comp.D3toD3,Pass.Comp.D3toM3,Pass.Comp.D3toA3,Pass.Comp.M3toD3,Pass.Comp.M3toM3,Pass.Comp.M3toA3,Pass.Comp.A3toD3,Pass.Comp.A3toM3,Pass.Comp.A3toA3,rFreq.opPass.Fwd,rFreq.opPass.Side,rFreq.opPass.Back,fwopPass.Comp,fwopPass.Att,fwopPass.Att.per.90,fwopPass.Comp.Pct,sopPass.Comp,sopPass.Att,sopPass.Att.per.90,sopPass.Comp.Pct,bopPass.Comp,bopPass.Att,bopPass.Att.per.90,bopPass.Comp.Pct,Pct.Passes.Pressed,PPass.Comp,PPass.Att,PPass.Att.per.90,PPass.Comp.Pct,rFreq.PPass.Fwd,rFreq.PPass.Side,rFreq.PPass.Back,fwPPass.Comp,fwPPass.Att,fwPPass.Att.per.90,fwPPass.Comp.Pct,sPPass.Comp,sPPass.Att,sPPass.Att.per.90,sPPass.Comp.Pct,bPPass.Comp,bPPass.Att,bPPass.Att.per.90,bPPass.Comp.Pct,Cross.Comp,Cross.Att,Cross.Att.per.90,Cross.Att.per.opPass,Cross.Comp.Pct,Corner.Crosses,Deep.Crosses,Launch.Comp,Launch.Att,Launch.Att.per.90,Launch.Att.per.Pass,Launch.Comp.Pct,Through.Comp,Through.Att,Through.Att.per.90,Through.Att.per.Pass,Through.Att.per.opPass,Through.Comp.Pct,Throw.In.Comp,Throw.In.Att,Throw.In.Att.per.90,Throw.In.Att.per.Pass,Throw.In.Comp.Pct,Corner.Kicks.Completed,Corner.Kicks.Taken,CK.Comp.Pct,CK.Assist,CK.Key.Pass,FK.Pass.Comp,FK.Pass.Att,FK.Pass.Comp.Pct,FK.Assist,FK.Key.Pass,FK.Shot,FK.Scored,Free.Kicks.Taken,Take.Ons,Take.Ons.per.90,TO.Won,TO.Lost,TO.Win.Pct,Dispossessed,Lost.Touches,All.Possessions.Disrupted,Poss.Disrupted.per.90,Aerial.Duels,Aerial.Duels.per.90,AD.Won,AD.Lost,AD.Win.Pct,Tackles,Dispossesses,All.Opp.Poss.Disrupted,Opp.Poss.Disrupted.per.90,Dribbled,Dribbled.per.90,Press.Opp,Challenge.Opp,Recoveries,Def.Recoveries,Poss.Recoveries,Recoveries.per.90,Interceptions,Int.per.90,Int.per.OP.Pass,Blocks,Blocks.per.90,Clearances,Clearances.per.90,Ball.Shields,Offsides,Fouls.Won,Fouls.Conceded,Yellow.Cards,Red.Cards,Penalties.Won,Penalties.Conceded,E.to.Goals,OG,E.to.Big.Chances,BC.Stopped,Saves,Goals.Allowed,GK.SOG.Faced,GperSOG,BC.SOG.Faced,BC.Saves,BC.Goals.Allowed,GperBCSOG,High.Balls.Faced,HB.Won,HB.Lost,HB.Caught,HB.Punched,HB.Parried,HB.Collected,HB.Fouls.Won,Crosses.Faced,Crosses.Won,Crosses.Lost,Corner.Kicks.Faced,CKs.Won,CKs.Lost,Free.Kicks.Faced,FKs.Won,FKs.Lost,no,Smothers.Won,Smothers.Lost,GK.Overall.Pass.Comp,GK.Overall.Pass.Att,GK.Overall.Pass.Comp.Pct,GK.Throw.Comp,GK.Throw.Att,GK.Throw.Comp.Pct,GK.Drop.Kick.Comp,GK.Drop.Kick.Att,GK.Drop.Kick.Comp.Pct,GKFK.Comp,GKFK.Att,GKFK.Comp.Pct
Alleway,1,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.947368421,0,0,0,0,0,0,0,0,0,53,68,64.42105263,0.779411765,50,60,56.84210526,0.833333333,11,15,14.21052632,0.733333333,0.25,0.705882353,0.117647059,0.176470588,33,48,45.47368421,0.6875,8,8,7.578947368,1,12,12,11.36842105,1,0.014705882,0.308823529,0.676470588,1,1,0.947368421,1,13,21,19.89473684,0.619047619,39,46,43.57894737,0.847826087,0.016666667,0.25,0.733333333,1,1,0.947368421,1,11,15,14.21052632,0.733333333,38,44,41.68421053,0.863636364,25,14,1,0,8,6,0,0,1,0.672413793,0.137931034,0.189655172,31,39,36.94736842,0.794871795,8,8,7.578947368,1,11,11,10.42105263,1,0.220588235,11,15,14.21052632,0.733333333,0.666666667,0,0.333333333,6,10,9.473684211,0.6,0,0,0,0,5,5,4.736842105,1,0,0,0,0,0,0,0,8,19,18,0.279411765,0.421052632,3,3,2.842105263,0.044117647,0.05,1,0,0,0,0,0,0,0,0,0,0,3,8,0.375,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.947368421,2,1.894736842,11,6,7,6,1,0,7,6.631578947,0,4,3.789473684,3,2.842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleway,1,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.947368421,0,0,0,0,0,0,0,0,0,53,68,64.42105263,0.779411765,50,60,56.84210526,0.833333333,11,15,14.21052632,0.733333333,0.25,0.705882353,0.117647059,0.176470588,33,48,45.47368421,0.6875,8,8,7.578947368,1,12,12,11.36842105,1,0.014705882,0.308823529,0.676470588,1,1,0.947368421,1,13,21,19.89473684,0.619047619,39,46,43.57894737,0.847826087,0.016666667,0.25,0.733333333,1,1,0.947368421,1,11,15,14.21052632,0.733333333,38,44,41.68421053,0.863636364,25,14,1,0,8,6,0,0,1,0.672413793,0.137931034,0.189655172,31,39,36.94736842,0.794871795,8,8,7.578947368,1,11,11,10.42105263,1,0.220588235,11,15,14.21052632,0.733333333,0.666666667,0,0.333333333,6,10,9.473684211,0.6,0,0,0,0,5,5,4.736842105,1,0,0,0,0,0,0,0,8,19,18,0.279411765,0.421052632,3,3,2.842105263,0.044117647,0.05,1,0,0,0,0,0,0,0,0,0,0,3,8,0.375,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.947368421,2,1.894736842,11,6,7,6,1,0,7,6.631578947,0,4,3.789473684,3,2.842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,2,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.947368421,0,0,0,0,0,0,0,0,0,41,52,49.26315789,0.788461538,32,42,39.78947368,0.761904762,13,17,16.10526316,0.764705882,0.404761905,0.653846154,0.192307692,0.153846154,24,34,32.21052632,0.705882353,9,10,9.473684211,0.9,8,8,7.578947368,1,0.057692308,0.576923077,0.365384615,3,3,2.842105263,1,20,30,28.42105263,0.666666667,18,19,18,0.947368421,0,0.571428571,0.428571429,0,0,0,0,15,24,22.73684211,0.625,17,18,17.05263158,0.944444444,10,8,0,4,16,0,0,0,3,0.666666667,0.166666667,0.166666667,19,28,26.52631579,0.678571429,6,7,6.631578947,0.857142857,7,7,6.631578947,1,0.326923077,13,17,16.10526316,0.764705882,0.529411765,0.176470588,0.294117647,6,9,8.526315789,0.666666667,2,3,2.842105263,0.666666667,5,5,4.736842105,1,0,0,0,0,0,0,0,2,7,6.631578947,0.134615385,0.285714286,0,1,0.947368421,0.019230769,0.023809524,0,5,6,5.684210526,0.115384615,0.833333333,3,3,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.947368421,1,0.947368421,0,1,0,1,0,1,0.947368421,1,0.947368421,2,0,9,5,4,0,8,7.578947368,0,6,5.684210526,3,2.842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnes,2,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.947368421,0,0,0,0,0,0,0,0,0,41,52,49.26315789,0.788461538,32,42,39.78947368,0.761904762,13,17,16.10526316,0.764705882,0.404761905,0.653846154,0.192307692,0.153846154,24,34,32.21052632,0.705882353,9,10,9.473684211,0.9,8,8,7.578947368,1,0.057692308,0.576923077,0.365384615,3,3,2.842105263,1,20,30,28.42105263,0.666666667,18,19,18,0.947368421,0,0.571428571,0.428571429,0,0,0,0,15,24,22.73684211,0.625,17,18,17.05263158,0.944444444,10,8,0,4,16,0,0,0,3,0.666666667,0.166666667,0.166666667,19,28,26.52631579,0.678571429,6,7,6.631578947,0.857142857,7,7,6.631578947,1,0.326923077,13,17,16.10526316,0.764705882,0.529411765,0.176470588,0.294117647,6,9,8.526315789,0.666666667,2,3,2.842105263,0.666666667,5,5,4.736842105,1,0,0,0,0,0,0,0,2,7,6.631578947,0.134615385,0.285714286,0,1,0.947368421,0.019230769,0.023809524,0,5,6,5.684210526,0.115384615,0.833333333,3,3,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.947368421,1,0.947368421,0,1,0,1,0,1,0.947368421,1,0.947368421,2,0,9,5,4,0,8,7.578947368,0,6,5.684210526,3,2.842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belanger,1,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,50.45454545,0.837837838,25,30,40.90909091,0.833333333,8,9,12.27272727,0.888888889,0.3,0.594594595,0.135135135,0.27027027,17,22,30,0.772727273,5,5,6.818181818,1,9,10,13.63636364,0.9,0.081081081,0.567567568,0.351351351,3,3,4.090909091,1,16,21,28.63636364,0.761904762,12,13,17.72727273,0.923076923,0.033333333,0.566666667,0.4,1,1,1.363636364,1,13,17,23.18181818,0.764705882,11,12,16.36363636,0.916666667,8,4,0,3,12,1,0,0,3,0.566666667,0.166666667,0.266666667,13,17,23.18181818,0.764705882,5,5,6.818181818,1,7,8,10.90909091,0.875,0.243243243,8,9,12.27272727,0.888888889,0.555555556,0.222222222,0.222222222,4,5,6.818181818,0.8,2,2,2.727272727,1,2,2,2.727272727,1,0,1,1.363636364,0.033333333,0,0,1,2,2,2.727272727,0.054054054,1,0,1,1.363636364,0.027027027,0.033333333,0,6,7,9.545454545,0.189189189,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.727272727,1,1,0.5,2,1,4,5.454545455,0,0,0,0,0,1,0,1,1.363636364,0,0,6,2,3,1,2,0,4,5.454545455,0,2,2.727272727,4,5.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belanger,1,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,50.45454545,0.837837838,25,30,40.90909091,0.833333333,8,9,12.27272727,0.888888889,0.3,0.594594595,0.135135135,0.27027027,17,22,30,0.772727273,5,5,6.818181818,1,9,10,13.63636364,0.9,0.081081081,0.567567568,0.351351351,3,3,4.090909091,1,16,21,28.63636364,0.761904762,12,13,17.72727273,0.923076923,0.033333333,0.566666667,0.4,1,1,1.363636364,1,13,17,23.18181818,0.764705882,11,12,16.36363636,0.916666667,8,4,0,3,12,1,0,0,3,0.566666667,0.166666667,0.266666667,13,17,23.18181818,0.764705882,5,5,6.818181818,1,7,8,10.90909091,0.875,0.243243243,8,9,12.27272727,0.888888889,0.555555556,0.222222222,0.222222222,4,5,6.818181818,0.8,2,2,2.727272727,1,2,2,2.727272727,1,0,1,1.363636364,0.033333333,0,0,1,2,2,2.727272727,0.054054054,1,0,1,1.363636364,0.027027027,0.033333333,0,6,7,9.545454545,0.189189189,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.727272727,1,1,0.5,2,1,4,5.454545455,0,0,0,0,0,1,0,1,1.363636364,0,0,6,2,3,1,2,0,4,5.454545455,0,2,2.727272727,4,5.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catley,1,1,95,1,0,1,0.947368421,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,56,53.05263158,0.678571429,31,42,39.78947368,0.738095238,17,20,18.94736842,0.85,0.476190476,0.642857143,0.142857143,0.214285714,20,36,34.10526316,0.555555556,6,8,7.578947368,0.75,12,12,11.36842105,1,0.25,0.571428571,0.178571429,8,14,13.26315789,0.571428571,22,32,30.31578947,0.6875,8,10,9.473684211,0.8,0.214285714,0.619047619,0.166666667,5,9,8.526315789,0.555555556,19,26,24.63157895,0.730769231,7,7,6.631578947,1,3,5,0,6,14,2,0,1,7,0.642857143,0.119047619,0.238095238,16,27,25.57894737,0.592592593,5,5,4.736842105,1,10,10,9.473684211,1,0.357142857,17,20,18.94736842,0.85,0.65,0.1,0.25,10,13,12.31578947,0.769230769,2,2,1.894736842,1,5,5,4.736842105,1,2,3,2.842105263,0.071428571,0.666666667,3,0,1,5,4.736842105,0.089285714,0.2,0,3,2.842105263,0.053571429,0.071428571,0,7,12,11.36842105,0.214285714,0.583333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.894736842,0,0,0,0,0,4,0,4,3.789473684,2,1.894736842,12,4,9,7,2,0,4,3.789473684,0,1,0.947368421,1,0.947368421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catley,1,1,95,1,0,1,0.947368421,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,56,53.05263158,0.678571429,31,42,39.78947368,0.738095238,17,20,18.94736842,0.85,0.476190476,0.642857143,0.142857143,0.214285714,20,36,34.10526316,0.555555556,6,8,7.578947368,0.75,12,12,11.36842105,1,0.25,0.571428571,0.178571429,8,14,13.26315789,0.571428571,22,32,30.31578947,0.6875,8,10,9.473684211,0.8,0.214285714,0.619047619,0.166666667,5,9,8.526315789,0.555555556,19,26,24.63157895,0.730769231,7,7,6.631578947,1,3,5,0,6,14,2,0,1,7,0.642857143,0.119047619,0.238095238,16,27,25.57894737,0.592592593,5,5,4.736842105,1,10,10,9.473684211,1,0.357142857,17,20,18.94736842,0.85,0.65,0.1,0.25,10,13,12.31578947,0.769230769,2,2,1.894736842,1,5,5,4.736842105,1,2,3,2.842105263,0.071428571,0.666666667,3,0,1,5,4.736842105,0.089285714,0.2,0,3,2.842105263,0.053571429,0.071428571,0,7,12,11.36842105,0.214285714,0.583333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.894736842,0,0,0,0,0,4,0,4,3.789473684,2,1.894736842,12,4,9,7,2,0,4,3.789473684,0,1,0.947368421,1,0.947368421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corsie,2,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,50.21052632,0.811320755,41,51,48.31578947,0.803921569,8,11,10.42105263,0.727272727,0.215686275,0.716981132,0.056603774,0.226415094,29,38,36,0.763157895,2,3,2.842105263,0.666666667,12,12,11.36842105,1,0.018867925,0.41509434,0.566037736,0,1,0.947368421,0,14,22,20.84210526,0.636363636,29,30,28.42105263,0.966666667,0.019607843,0.431372549,0.549019608,0,1,0.947368421,0,14,22,20.84210526,0.636363636,27,28,26.52631579,0.964285714,13,16,0,5,7,2,0,0,0,0.705882353,0.058823529,0.235294118,27,36,34.10526316,0.75,2,3,2.842105263,0.666666667,12,12,11.36842105,1,0.20754717,8,11,10.42105263,0.727272727,0.454545455,0.181818182,0.363636364,3,5,4.736842105,0.6,1,2,1.894736842,0.5,4,4,3.789473684,1,1,1,0.947368421,0.019607843,1,0,1,6,11,10.42105263,0.20754717,0.545454545,0,1,0.947368421,0.018867925,0.019607843,0,1,1,0.947368421,0.018867925,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.947368421,1,0,1,0,0,0,0,6,5.684210526,4,2,0.666666667,1,0,1,0.947368421,0,0,13,1,7,7,0,0,2,1.894736842,0,2,1.894736842,5,4.736842105,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corsie,2,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,50.21052632,0.811320755,41,51,48.31578947,0.803921569,8,11,10.42105263,0.727272727,0.215686275,0.716981132,0.056603774,0.226415094,29,38,36,0.763157895,2,3,2.842105263,0.666666667,12,12,11.36842105,1,0.018867925,0.41509434,0.566037736,0,1,0.947368421,0,14,22,20.84210526,0.636363636,29,30,28.42105263,0.966666667,0.019607843,0.431372549,0.549019608,0,1,0.947368421,0,14,22,20.84210526,0.636363636,27,28,26.52631579,0.964285714,13,16,0,5,7,2,0,0,0,0.705882353,0.058823529,0.235294118,27,36,34.10526316,0.75,2,3,2.842105263,0.666666667,12,12,11.36842105,1,0.20754717,8,11,10.42105263,0.727272727,0.454545455,0.181818182,0.363636364,3,5,4.736842105,0.6,1,2,1.894736842,0.5,4,4,3.789473684,1,1,1,0.947368421,0.019607843,1,0,1,6,11,10.42105263,0.20754717,0.545454545,0,1,0.947368421,0.018867925,0.019607843,0,1,1,0.947368421,0.018867925,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.947368421,1,0,1,0,0,0,0,6,5.684210526,4,2,0.666666667,1,0,1,0.947368421,0,0,13,1,7,7,0,0,2,1.894736842,0,2,1.894736842,5,4.736842105,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
