"Player","Team","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Assists.per.90","Key.Passes.per.90","Assists.per.Pass","Key.Passes.per.Pass","Big.Chances","Big.Chances.per.90","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Comp.Pct","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Att","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.Pass","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Att.per.opPass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att","Match"
"Dunn","USA",46,1,0,1,1.95652173913043,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0.588235294117647,10,17,0.588235294117647,7,10,0.7,0.588235294117647,0.705882352941177,0.117647058823529,0.176470588235294,6,12,0.5,1,2,0.5,3,3,1,0.705882352941177,0.117647058823529,0.176470588235294,6,12,0.5,1,2,0.5,3,3,1,1,7,10,0.7,0.7,0,0.3,4,7,0.571428571428571,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.95652173913043,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,8,6,1,1,1,1,1,0,1,0,0,9,7,9,5,4,3,5.8695652173913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Engen","USA",94,1,0,2,1.91489361702128,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,45,0.911111111111111,39,43,0.906976744186046,12,15,0.8,0.348837209302326,0.688888888888889,0.222222222222222,0.0888888888888889,27,31,0.870967741935484,10,10,1,4,4,1,0.674418604651163,0.232558139534884,0.0930232558139535,25,29,0.862068965517241,10,10,1,4,4,1,1,12,15,0.8,0.866666666666667,0.0666666666666667,0.0666666666666667,10,13,0.769230769230769,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,1,0,1,1,0.5,2,1,1,0,0,3,3,6,4,2,2,1.91489361702128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Heath","USA",46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,0.837837837837838,24,27,0.888888888888889,20,23,0.869565217391304,0.851851851851852,0.243243243243243,0.405405405405405,0.351351351351351,8,9,0.888888888888889,10,15,0.666666666666667,13,13,1,0.333333333333333,0.296296296296296,0.37037037037037,8,9,0.888888888888889,6,8,0.75,10,10,1,1,20,23,0.869565217391304,0.347826086956522,0.304347826086957,0.347826086956522,7,8,0.875,5,7,0.714285714285714,8,8,1,1,3,5.8695652173913,0.0810810810810811,0.111111111111111,0.333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.8695652173913,0.0810810810810811,1,4,0.571428571428571,7,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,2,0,0,0,0,0,0,0,0,0,6,2,3,2,1,1,1.95652173913043,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Hinkle","USA",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0.92,21,23,0.91304347826087,12,14,0.857142857142857,0.608695652173913,0.64,0.16,0.2,15,16,0.9375,3,4,0.75,5,5,1,0.608695652173913,0.173913043478261,0.217391304347826,13,14,0.928571428571429,3,4,0.75,5,5,1,1,12,14,0.857142857142857,0.571428571428571,0.214285714285714,0.214285714285714,7,8,0.875,2,3,0.666666666666667,3,3,1,2,2,3.6734693877551,0.08,0.0869565217391304,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.6734693877551,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,1,0,3,0,0,1,4,5,4,1,1,1.83673469387755,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Horan","USA",46,1,0,1,1.95652173913043,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0.884615384615385,22,25,0.88,17,19,0.894736842105263,0.76,0.423076923076923,0.230769230769231,0.346153846153846,9,11,0.818181818181818,6,6,1,8,9,0.888888888888889,0.44,0.2,0.36,9,11,0.818181818181818,5,5,1,8,9,0.888888888888889,1,17,19,0.894736842105263,0.421052631578947,0.157894736842105,0.421052631578947,7,8,0.875,3,3,1,7,8,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,0.571428571428571,7,3,1,0,3,1,3,0,1,0,1,5,4,7,3,4,1,1.95652173913043,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Klingenberg","USA",94,1,0,1,0.957446808510638,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,0.833333333333333,43,53,0.811320754716981,22,28,0.785714285714286,0.528301886792453,0.483333333333333,0.133333333333333,0.383333333333333,22,29,0.758620689655172,6,8,0.75,22,23,0.956521739130435,0.490566037735849,0.150943396226415,0.358490566037736,19,26,0.730769230769231,6,8,0.75,18,19,0.947368421052632,1,22,28,0.785714285714286,0.428571428571429,0.142857142857143,0.428571428571429,8,12,0.666666666666667,3,4,0.75,11,12,0.916666666666667,1,1,0.957446808510638,0.0166666666666667,0.0188679245283019,1,1,0,0,0,0,0,0,0,0,2,1.91489361702128,0.0333333333333333,0.0377358490566038,0,6,6,5.74468085106383,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0.75,4,1,0,2,0,0,1,1,1,0,0,10,4,13,8,5,4,3.82978723404255,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Krieger","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,59,0.830508474576271,43,53,0.811320754716981,16,19,0.842105263157895,0.358490566037736,0.661016949152542,0.186440677966102,0.152542372881356,29,39,0.743589743589744,11,11,1,9,9,1,0.679245283018868,0.169811320754717,0.150943396226415,26,36,0.722222222222222,9,9,1,8,8,1,1,16,19,0.842105263157895,0.578947368421053,0.105263157894737,0.315789473684211,8,11,0.727272727272727,2,2,1,6,6,1,1,1,0.957446808510638,0.0169491525423729,0.0188679245283019,1,1,0,3,5,4.78723404255319,0.0847457627118644,0.0943396226415094,0.6,0,1,0.957446808510638,0.0169491525423729,0.0188679245283019,0,4,4,3.82978723404255,0.0677966101694915,1,0,0,0,0,0,2,1,2,0,0,0,0,2,1,0.5,2,1,0,0,3,1,3,0,1,0,0,1,4,10,4,6,3,2.87234042553191,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Lloyd","USA",46,1,3,5,9.78260869565217,0.8,1,0,1,2,0.4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.8695652173913,3,1,0,0,0,0,0,15,22,0.681818181818182,15,22,0.681818181818182,7,9,0.777777777777778,0.391304347826087,0.545454545454545,0.136363636363636,0.318181818181818,6,12,0.5,2,3,0.666666666666667,7,7,1,0.545454545454545,0.136363636363636,0.318181818181818,6,12,0.5,2,3,0.666666666666667,7,7,1,1,7,9,0.777777777777778,0.444444444444444,0,0.555555555555556,2,4,0.5,0,0,0,5,5,1,1,3,5.8695652173913,0.136363636363636,0.136363636363636,0.333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,4,0,0,8,3,4,2,2,2,3.91304347826087,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"McCaffrey","USA",49,0,0,1,1.83673469387755,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0.8,12,15,0.8,9,11,0.818181818181818,0.733333333333333,0.2,0.333333333333333,0.466666666666667,3,3,1,3,5,0.6,6,7,0.857142857142857,0.2,0.333333333333333,0.466666666666667,3,3,1,3,5,0.6,6,7,0.857142857142857,1,9,11,0.818181818181818,0.181818181818182,0.272727272727273,0.545454545454545,2,2,1,2,3,0.666666666666667,5,6,0.833333333333333,0,1,1.83673469387755,0.0666666666666667,0.0666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.636363636363636,11,4,0,0,2,0.666666666666667,3,1,0,0,1,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
"Mewis","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,58,0.844827586206897,49,58,0.844827586206897,27,32,0.84375,0.551724137931034,0.53448275862069,0.258620689655172,0.206896551724138,23,31,0.741935483870968,14,15,0.933333333333333,12,12,1,0.53448275862069,0.258620689655172,0.206896551724138,23,31,0.741935483870968,14,15,0.933333333333333,12,12,1,1,27,32,0.84375,0.375,0.28125,0.34375,8,12,0.666666666666667,8,9,0.888888888888889,11,11,1,0,0,0,0,0,0,0,0,0,1,0.957446808510638,0.0172413793103448,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,5,2,1,2,8,0.888888888888889,9,1,2,0,0,11,5,11,4,7,1,0.957446808510638,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"USA-IRL"
